"""","就職希望者数(A)_人","求人数(B)_人","就職者数(C)_人","うち県内(D)_人","求人倍率（B/A）_倍","就職率(C/A×100)_％","県内就職率(D/C×100)_％"
"平成17年度(2005年度）)","14.0","17.0","11.0","9.0","1.21","78.6","81.8"
"","","","","","","",""
"平成18年度(2006年度）)","9.0","6.0","8.0","8.0","0.67","88.9","100.0"
"平成19年度(2007年度）)","16.0","13.0","12.0","12.0","0.81","75.0","100.0"
"平成20年度(2008年度）)","7.0","5.0","7.0","5.0","0.71","100.0","71.4"
"平成21年度(2009年度）)","4.0","1.0","4.0","4.0","0.25","100.0","100.0"
"平成22年度(2010年度）)","2.0","3.0","2.0","2.0","1.5","100.0","100.0"
"","","","","","","",""
"平成23年度(2011年度）)","3.0","7.0","3.0","3.0","2.33","100.0","100.0"
"平成24年度(2012年度）)","1.0","3.0","1.0","1.0","3.0","100.0","100.0"
"平成25年度(2013年度）)","1.0","3.0","1.0","1.0","3.0","100.0","100.0"
"平成26年度(2014年度）)","3.0","5.0","3.0","2.0","1.67","100.0","66.7"
